rule,explanation,example
Use of 'Such' with Countable and Uncountable Nouns,Such' emphasizes the kind or degree of nouns.,It was such a beautiful day. / She has such patience.
Use of Past Simple with Time Expressions,Past simple often used with specific past times like 'yesterday'.,I met her yesterday.
Use of 'All' as Determiner and Pronoun,All' refers to the whole amount or number of something.,All the students passed the exam. / All are invited.
Use of 'Still' to Indicate Continuation,Still' shows an action continues longer than expected.,She still lives in New York.
Use of 'So Far' to Indicate Distance or Extent,So far' indicates how much distance or progress has been made.,We have walked so far already.
Use of 'Far' as Adverb and Adjective,Far' can function as an adjective or adverb indicating distance.,The city is far from here. He ran far.
Use of Prepositional Phrases as Adjectives,Prepositional phrases can describe nouns.,The man in the blue shirt is my uncle.
Use of 'Out of' for Cause or Reason,Out of' expresses motive or reason.,She did it out of kindness.
Use of Infinitive as Subject,Infinitive verb forms can act as subjects.,To learn is important.
Use of 'No' with Plural Nouns,No' negates plurals to mean none of.,There are no cookies left.
Use of Adverb Placement in Sentences,Adverbs typically go near the verb or at sentence ends.,He quickly ran home.
Use of Present Perfect for Life Experiences,Express actions experienced at any time in life.,I have visited Paris.
Use of 'Rather' for Degree,Rather' expresses a moderate degree of something.,The film was rather good.
Use of Parallel Clauses in Writing,Maintain grammatical structure for clarity and style.,She likes reading and loves writing.
Use of 'By' to Express Agent in Passive,By' introduces the doer of the action in passive sentences.,The book was written by Jane Austen.
Use of 'Let Alone' for Emphasis,Express that something is even less likely than another.,"He can't boil an egg, let alone cook a meal."
Use of Demonstrative Pronouns vs Determiners,Pronouns stand alone; determiners modify nouns.,This is mine. / This book is mine.
Use of 'Such That' for Causation,Shows cause and effect in a sentence.,The noise was such that we couldn't concentrate.
Use of 'As Well As' for Addition,Adds information with similar importance.,She sings as well as dances.
Use of 'Even Though' for Strong Contrast,Emphasizes contrast stronger than 'although'.,"Even though it was late, he continued working."
Use of Prepositions in Fixed Expressions,Some expressions require specific prepositions.,"Interested in art, good at math."
Use of Negatives with Auxiliary Verbs,Negatives often form with auxiliary verbs.,She does not like pizza.
Use of Imperatives for Instructions and Requests,Base verb forms issue commands or polite requests.,Please sit down.
Use of Causative 'Have' and 'Get',Express actions performed by others on someone's behalf.,I had my car repaired. / He got his hair cut.
Use of 'May Have' and 'Might Have' for Past Possibility,Express possibility about something that may have happened.,She may have missed the train.
Use of Clauses of Condition without 'If',Use inversion to omit 'if' in conditional clauses.,"Were I you, I would apologize."
Use of Adjective Order in Multiple Adjective Phrases,"Adjectives follow a typical order: quantity, opinion, size, age, shape, color, origin, material, purpose.",She bought three beautiful old round wooden tables.
Use of 'No Matter' to Express Concessions,Express something happens regardless of conditions.,"No matter what you say, I won’t change my mind."
Use of 'So Much' and 'So Many',So much' for uncountable and 'so many' for countable nouns.,She has so much energy. / There are so many reasons.
Use of 'Neither...Nor' to Connect Negatives,Connect two negative alternatives.,Neither of them knew the answer.
Use of Inversion with 'So' for Emphasis,Begin sentences with 'so' followed by inversion to emphasize a consequence.,So difficult was the test that few passed.
Use of Tag Questions after Negative Statements,Question tags after negative statements are positive.,"You aren’t coming, are you?"
Use of Modal Verbs for Obligation in Past,Had to' expresses past obligations or necessities.,I had to finish the report yesterday.
Use of Split Negative Constructions,Avoid double negatives as they create a positive meaning.,She doesn't have any money. (correct)
Use of 'Wh- Clauses' as Objects,Clauses starting with question words can act as objects.,I don’t know where he lives.
Use of Comparative Adjectives with 'Much Less',Much less' intensifies negative comparisons.,He is much less experienced than before.
Use of Prepositions in Passive Constructions,Certain prepositions follow the passive verb.,He was admitted to the hospital.
Use of Emphatic Adverbs in Sentences,Adverbs can emphasize the meaning of the sentence.,She absolutely loves chocolate.
Use of Relative Pronouns with Prepositions,"Prepositions can precede 'whom', 'which', or 'that' in relative clauses.",The people to whom I spoke were friendly.
Use of 'Let' for Suggestions and Commands,Let' is used to make suggestions or give commands involving others.,Let's start the meeting.
Use of 'Used To' for Past States and Habits,Used to' expresses past habits or states that no longer occur.,He used to play football.
Use of Future Perfect with Time Expressions,Future perfect is frequently used with specific time events.,"By noon, I will have finished my work."
Use of Noun Clauses as Objects,Entire clauses can serve as objects in sentences.,I believe that she is honest.
Use of 'Than' Following Comparatives,Than' introduces the second element in a comparison.,She is taller than her sister.
Use of 'A Lot' and 'Lots Of' for Quantity,Informal expressions indicating large quantities.,He has a lot of friends.
Use of Correlative Conjunctions for Balanced Sentences,Paired conjunctions connect balanced ideas.,Both he and I like pizza.
Use of Present Continuous for Future Arrangements,Use present continuous tense for fixed future events.,I am meeting John tomorrow.
Use of 'Each Other' for Reciprocal Actions,Express mutual actions between two or more people.,They respect each other.
Use of 'Only' for Restriction,Only' limits the meaning of words or clauses.,She only eats vegetables.
Use of 'Whether or Not' for Emphasis,Expresses choice or unconditional situations.,I'll go whether or not he comes.
Use of Modal Verbs to Express Probability,Modals indicate degrees of certainty or speculation.,She might be at home now.
Use of Negative Prefixes to Form Opposites,Use prefixes to negate meanings of words.,His answer was incorrect.
Use of 'Too Much' and 'Too Many',Too much' with uncountable nouns; 'too many' with countable nouns.,There is too much noise. / There are too many people.
Use of Present Perfect with 'Just' for Recent Events,Just' indicates an action happened very recently.,They have just arrived.
Use of Imperatives with 'Let’s' for Suggestions,Let’s' makes polite suggestions including the speaker.,Let’s go to the movies.
Use of 'So' + Adjective + 'That' Clauses,Express cause or result; 'so' modifies adjectives.,He was so tired that he fell asleep.
Use of Past Perfect with 'By the Time',Show that one past event happened before another.,"By the time she arrived, we had left."
Use of Indirect Questions with Embedded Questions,Use statements with question word to ask politely.,Can you tell me where he lives?
Use of Causative 'Have' for Service Actions,Use 'have' to express arranging services.,I had my ticket booked online.
Use of Time Adverbs in Different Positions,Time adverbs appear at various sentence positions for emphasis.,"Yesterday, I saw him. / I saw him yesterday."
Use of Present Perfect Passive with 'Already',Express completed actions before now in passive voice.,The work has already been done.
Use of 'Would' for Polite Offers and Invitations,Would' softens offers or invites politely.,Would you like some tea?
Use of Partial Negatives with 'Not All' and 'Not Every',Express partial negation or exceptions.,Not all students passed.
Use of 'Since' for Specific Starting Point,Since' marks the starting point of an action continuing.,I have lived here since 2010.
Use of 'As Well' for Additional Information,"As well' adds information, often at sentence end.",She sings and dances as well.
Use of Passive Voice in Reported Speech,Reported speech often uses passive voice for focus.,It was said that the project would be delayed.
Use of Adjectives to Express Feelings,"Use adjectives, not verbs, to describe emotions and feelings.",She is happy today.
Use of 'No Longer' to Indicate Cessation,Express that something which was true is now not.,I no longer live there.
Use of Conditional Sentences with 'If Only' for Regret,Express present or past wishes contrary to reality.,If only I were taller. / If only I had listened.
Use of 'So Far' to Indicate Extent or Distance,Used to describe progress or distance up to now.,"So far, everything is going well."
Use of 'As If' and 'As Though' for Imaginary Situations,Describe unreal or hypothetical scenarios.,He talks as if he owns the place.
Use of Modal Verbs with 'Have To' for Necessity,Have to' expresses obligation or necessity.,I have to finish this by tomorrow.
Use of Countdown with 'Less' in Time Expressions,Use 'less' with time or distance to indicate smaller amounts.,Five less minutes to go.
Use of Reduced Adjective Clauses,Simplify clauses by using participles.,The man living next door is kind.
Use of Reflexive Pronouns with Emphatic Function,Reflexive pronouns emphasize the subject performing an action.,I did it myself.
Use of Future Passive Forms,Show actions that will be done to the subject in future.,The lights will be turned off at midnight.
Use of 'Despite' versus 'Although',"Despite' is followed by noun phrases, 'although' by clauses.","Despite the rain, we went out. Although it rained, we went out."
Use of Subjunctive Mood in Fixed Expressions,"Used in formal suggestions, wishes or imperatives.",God save the Queen!
Use of 'By the Time' with Future Perfect,Express completion of an action before a future time.,"By the time you come, I will have left."
Use of 'Neither' and 'Either' in Responses,"Neither' agrees with negative, 'either' with affirmative responses.",I don’t like it. Neither do I. / You can come either.
Use of 'So' in Short Positive Responses,So' agrees with affirmative statements.,I am tired. So am I.
Use of 'As' for Comparisons of Equality,As...as' compares two elements indicating equality.,She is as tall as her brother.
Use of Plural Countable Nouns without Articles,Plural countable nouns used in general statements generally have no article.,Cats are common pets.
Use of Uncountable Nouns without Articles,Uncountable nouns refer to general concepts or substances with no article.,Water is essential for life.
Use of 'Only' to Modify Nouns and Pronouns,Only' restricts or limits the noun or pronoun it modifies.,He is the only person here.
Use of 'Enough' After Adjectives and Adverbs,Enough' can follow adjectives/adverbs to indicate sufficient degree.,She is smart enough to understand.
Use of Preposition 'At' for Specific Times,At' is used with clock times and specific moments.,The train leaves at 6 PM.
Use of Reported Speech with Changes in Tenses,Tenses shift back when reporting past statements.,He said he was tired.
Use of Imperative for Giving Advice,Commands can politely give advice or instructions.,Take an umbrella in case it rains.
Use of Adverb Placement with Frequency Adverbs,Frequency adverbs usually come before main verbs.,She often visits her family.
Use of Negative Prefixes to Reverse Meaning,"Prefixes like 'dis-', 'un-' negate the meaning of adjectives and verbs.",He is dishonest.
Use of 'Much' and 'Many' with Quantities,"Much' for uncountable, 'many' for countable quantities.",There is much milk. / There are many books.
Use of 'Such' + Adjective + Noun,Emphasizes the quality of a noun.,It was such a beautiful day.
Use of 'Too' + Adjective + 'To',Express impossibility due to excess.,The box is too heavy to lift.
Use of 'So' + Adjective + 'That',Express cause and effect with 'so'.,She was so angry that she left.
Use of Tag Questions with Imperatives,Tags soften commands to questions.,"Close the door, will you?"
Use of Double Comparatives,"Avoid using two comparative words at once (e.g., more better).","She is better, not more better."
Use of Past Perfect for Earlier Past Events,Describes events that occurred before another past event.,They had left before I arrived.
Use of Modal Verbs for Possibility,Modals express different degrees of likelihood.,He might come to the party.
Use of Present Perfect for Unfinished Time Periods,Describe actions within a time period still ongoing.,I have read three books this week.
Use of Passives with Irregular Verbs,Form passive voice with the past participle of irregular verbs.,The letter was written yesterday.
Use of Reflexive Pronouns for Emphasis or Indirect Object,Reflect the action back to the subject or emphasize it.,She taught herself French.
Use of Infinitive to Express Purpose,Infinitives answer why an action is done.,He studies to improve his skills.
Use of Conditional Sentences with 'Unless',Unless' means 'if not' in conditionals.,I won’t go unless you come.
Use of 'As' to Show Cause,As' introduces a reason or cause for an action.,"As it was late, we stopped."
Use of Interrogative Sentences with Auxiliary Verbs,Form questions by placing auxiliary verbs before subjects.,Are you coming?
Use of Passive Voice for Instructions,Passive form focuses on the action more than the actor.,The form should be completed carefully.
Use of 'Whose' for Possession in Relative Clauses,Whose' indicates ownership or association.,The woman whose car was stolen is upset.
Use of 'If' in Conditional and Hypothetical Clauses,If' introduces conditions for real or unreal situations.,"If you study, you will succeed."
"Use of Prepositions with 'Interested', 'Good', etc.",Certain adjectives require specific prepositions.,She is interested in politics.
Use of Future Continuous for Ongoing Future Actions,Express an action that will be ongoing at a future time.,I will be working at 10 AM tomorrow.
Use of Expressing Obligation with 'Must' and 'Have To',Must' is stronger; 'have to' expresses external obligation.,You must stop smoking. / I have to finish my work.
Use of 'Some' and 'Any' in Affirmative and Negative Sentences,"Some' in positives, 'any' in negatives and questions.",I have some friends. / I don’t have any money.
Use of Negative Tag Questions,Questions tagged negatively after positive statements for confirmation.,"You like coffee, don’t you?"
Use of Conjunctions 'Although' and 'Though',Link contrasting ideas; 'though' is less formal.,"Although it was raining, we went out."
Use of Determiners 'Each' and 'Every',Each' stresses individuality; 'Every' adds sense of totality.,Each student has a book. Every student passed.
Use of Quantifiers with Uncountable and Countable Nouns,Use appropriate quantifiers per noun type.,"Much water, many bottles."
Use of Simple Present for General Truths,Present tense states facts or habitual truths.,Water boils at 100°C.
Use of Emphatic Imperatives with 'Do',Do' adds emphasis in commands.,Do be quiet!
Use of Reported Speech with Questions,Change question word order in indirect speech.,He asked where I was going.
Use of Comparative Adverbs in Sentences,Adverbs comparative forms compare actions or qualities.,She runs faster than him.
Use of Past Continuous for Interrupted Past Actions,Actions ongoing in the past interrupted by another event.,I was reading when she called.
Use of Modal 'Should' for Advice,Use 'should' to give advice or suggestions.,You should see a doctor.
Use of 'Used To' in Affirmative Statements,Express past habits or states no longer true.,She used to live in London.
Use of Past Simple in Narratives,Describe completed actions in the past.,He arrived late yesterday.
Use of 'Going To' for Predictions Based on Evidence,Predict future events based on current evidence.,Look at those clouds; it’s going to rain.
Use of 'May' and 'Might' for Uncertain Possibility,Express uncertain or less likely possibilities.,She might come to the party later.
Use of Passive Voice with Modals,Form passive sentences with modal verbs.,The work must be done by Friday.
Use of 'As If' and 'As Though' for Imaginary Situations,Compare situations that are not real.,He talks as if he owns the place.
Use of 'Since' and 'For' in Present Perfect,Since' indicates a starting point; 'for' indicates duration.,I have lived here since 2010. / She has worked for three hours.
Use of 'Let' for Proposals and Requests,Suggest actions or give permission.,Let’s have lunch together.
Use of 'Either' and 'Neither' for Alternatives and Negatives,Offer choices or express negation.,You can have either tea or coffee. / Neither answer is correct.
Use of 'Unless' as Conditional 'If Not',Express a condition except or unless something happens.,I won’t go unless you come with me.
Use of 'Even If' for Emphasis in Conditionals,Emphasize that something will happen regardless of condition.,"Even if it rains, we will go out."
Use of 'May Have' to Express Past Possibility,Speculate about past events.,He may have missed the train.
Use of Non-defining Relative Clauses with Commas,"Provide extra, non-essential information.","My sister, who lives in Canada, is visiting."
Use of Adjective Order Before Nouns,Adjectives follow a conventional order when multiple are used.,She bought a lovely big old wooden table.
Use of 'Neither...Nor' with Singular Verbs,"When subjects joined by 'neither...nor' are singular, singular verb is used.",Neither the cat nor the dog is hungry.
Use of 'Between' and 'Among' for Groups,Between' for two items; 'among' for more than two.,Choose between tea and coffee. / Share among friends.
Use of 'Too...To' to Show Inability,Indicates excessive degree leading to inability.,The box is too heavy to lift.
Use of 'So...That' for Cause and Effect,Show result of a condition.,She was so tired that she fell asleep immediately.
Use of Indefinite Pronouns as Subjects,"Pronouns like 'everyone', 'someone' as sentence subjects.",Everyone is welcome.
Use of Passive Infinitive to Express Obligation,Passive infinitive after modal verbs to show necessity.,The report must be completed by Friday.
Use of Gerund as Subject of a Sentence,Use verb+ing form as subject.,Swimming is good for health.
Use of Past Perfect Continuous to Show Duration,Indicate duration of past activity before another action.,She had been studying for two hours when I arrived.
Use of Emphatic Answers with Auxiliary 'Do',Emphasize positive answer in present or past tense.,"Do you like it?— Yes, I do."
Use of Modal of Deduction for Present,"Use 'must', 'can’t', 'might' to express certainty or doubt.",He must be the new manager.
Use of 'So' and 'Such' for Emphasis,So' modifies adjectives/adverbs; 'such' modifies nouns.,It’s so cold today. / It’s such a nice day.
Use of Adjectives with '-ed' and '-ing' Endings,"-ed' describes feelings, '-ing' describes causes.",I am bored. / The movie is boring.
Use of Future Perfect Continuous to Show Duration,Indicate how long an action will have been going on by a future time.,"By noon, he will have been working for five hours."
Use of Questions with 'Whose',Ask about possession.,Whose book is this?
Use of Prepositions with Direction and Location,Use specific prepositions for movement or position.,She walked to the store. / The book is on the table.
Use of Present Continuous for Temporary Situations,Indicate temporary actions happening now or around now.,I am staying with a friend this week.
Use of Quantifiers with Singular and Plural Nouns,Use appropriate quantifiers based on noun types.,Few people came. / Little water was left.
Use of 'Most' as Superlative Determiner,Most' used to form superlatives with adjectives longer than two syllables.,She is the most talented singer here.
Use of Inversion in Conditional Sentences,Omit 'if' and invert subject and auxiliary.,"Had I known, I would have helped."
Use of Articles in Geographical Names,Some country and place names require articles.,"The United States, The Netherlands."
Use of 'Either...Or' for Choices,Present alternatives in sentences.,You can either call me or email me.
Use of 'Neither...Nor' with Multiple Subjects,Connect negative alternatives with plural or singular verbs.,Neither Tom nor Jerry is coming.
Use of 'So Far' to Indicate Progress,Express progress or extent up to now.,"So far, we have collected 100 signatures."
Use of 'Both...And' to Connect Similar Ideas,Emphasize inclusion of two elements.,She is both smart and kind.
Use of Modal Verbs for Ability and Permission,Can' and 'Could' express ability and polite permission.,I can swim. / Could I ask a question?
Use of Zero Conditional for Universal Truths,If + present simple describes general facts.,"If you heat ice, it melts."
Use of Past Simple for Completed Actions,Describe actions completed at a specific past time.,We visited Rome last summer.
Use of 'As Well As' to Add Information,Add details with 'as well as' without changing verb number.,"She, as well as her friends, is coming."
Use of Present Perfect for Life Experiences,Express actions experienced at some point in the past.,I have been to Japan.
Use of Passive Voice to Remove Agent,Focus on action or experience instead of the doer.,The window was broken last night.
Use of Infinitive after Adjectives,Infinitives often follow adjectives to describe purpose or result.,She was happy to see him.
Use of 'Such'... 'That' for Cause and Effect,"Such' emphasizes the noun, leading to a result expressed by 'that'.",It was such a cold day that we stayed inside.
Use of Present Simple for Scheduled Events,Describe official or scheduled future events with present simple.,The plane departs at 8 PM.
Use of Indirect Speech with Changes in Pronouns,Change pronouns appropriately for the reporting situation.,He said he was tired.
Use of 'Enough' Before Nouns,Enough' precedes nouns to indicate sufficiency.,There is enough room for everyone.
Use of 'So Far' with Present Perfect,Indicate progress up to now.,We have sold 500 tickets so far.
Use of 'Make' vs 'Do',Make' refers to creating; 'Do' refers to activities or tasks.,She makes cakes. / He does his homework.
Use of Predicate Nominatives,Nouns or pronouns following linking verbs that rename the subject.,He is a teacher.
Use of 'Both...And' with Plural Verbs,Correlative conjunctions with plural subjects take plural verbs.,Both the cat and the dog are hungry.
Use of 'Too' with Adjectives and Infinitives,Express that something exceeds a limit making an action impossible.,The box is too heavy to carry.
Use of Present Continuous for Annoying Habits,Use with 'always' to express irritation about repeated actions.,She is always talking during class.
Use of 'Since' with Past Tense,Since' can be used with past tense to indicate specific time.,I felt tired since I woke up early.
Use of 'Whose' for Possession in Relative Clauses,Show ownership or association even with things.,The house whose roof is red is mine.
Use of Comparative Adjectives with 'Much' and 'Far',Much' and 'far' intensify comparatives.,She is much taller than before. / He runs far faster.
Use of 'Rather Than' to Express Preference,Show preference for one thing over another.,I’d rather sleep than study.
Use of 'Like' and 'As' in Comparisons,"Like' compares nouns, 'as' compares clauses.",She sings like a professional. / She sings as a professional does.
Use of Modal Verbs for Permission,"Use 'can', 'may', 'could' for permissions of different formality.",Can I leave early? / May I sit here?
Use of 'Either' and 'Or' to Connect Alternatives,Present two options or possibilities.,You can have either coffee or tea.
Use of 'Neither' and 'Nor' to Connect Negatives,Join two negative alternatives.,Neither option is acceptable.
Use of Passive Voice for Emphasizing Action,Emphasize the action or the receiver over the doer.,The cake was eaten quickly.
Use of Question Tags for Confirmation,Add short questions after statements to confirm information.,"You are coming, aren’t you?"
Use of Cleft Sentences for Emphasis,Structure the sentence to emphasize a particular element.,It was John who broke the vase.
Use of Adverbs of Frequency,Place adverbs indicating frequency before main verbs.,She usually arrives early.
Use of Negative Adverbs in Sentences,"Adverbs like 'rarely', 'seldom' indicate infrequency or negation.",He rarely eats out.
Use of 'Wh- Questions' for Information,"Questions starting with 'what', 'where', 'when', 'why', 'who', 'how'.",Where do you live?
Use of 'Too Much' and 'Too Many' for Excess,Quantify excessive amounts for uncountable and countable nouns.,There is too much noise. / There are too many people.
Use of Past Continuous for Background Actions,Describe ongoing past action interrupted by another.,I was cooking when he arrived.
Use of Adverb Placement for Manner,Manner adverbs usually come after the verb or object.,She speaks clearly.
Use of 'Used to' for Past Repeated Actions,Describe past actions no longer done now.,I used to swim every day.
Use of Indefinite Pronouns for Non-specific References,"Pronouns like 'someone', 'anything' refer to unspecified entities.",Someone left the door open.
Use of Participles to Reduce Clauses,Use present/past participles to replace relative clauses.,The man standing there is my uncle.
Use of Modal Verbs for Advice and Suggestion,"Should', 'ought to' give advice or suggestions.",You should see a doctor.
Use of 'Whose' with Non-human Objects,Whose' can indicate possession for things.,The car whose engine is broken needs repair.
Use of Direct and Indirect Objects,Differentiate objects receiving or benefiting from the action.,She gave me a gift.
Use of 'So That' for Purpose,Express purpose with 'so that' + clause.,She left early so that she could catch the train.
Use of Articles with Unique Objects,"Use 'the' with unique, one-of-a-kind objects.",The moon is bright tonight.
Use of Emphatic Structures with 'Do',Use 'do' + base verb to add emphasis.,I do want to help you.
Use of Reported Speech with Changes in Time,Time expressions change when reporting past speech.,He said yesterday became the day before.
Use of Passive Voice for Instructions and Rules,Passive used in formal instructions and rules.,The form must be completed carefully.
Use of Polite Requests with 'Would',Use 'would' to soften requests.,Would you please close the door?
Use of Coordinating Conjunctions,"Connect equal ideas with 'and', 'but', 'or'.",I like tea and coffee.
Use of Logical Connectors in Formal Writing,"Use connectors like 'however', 'therefore' to link ideas.","He studied hard; therefore, he passed."
Use of Reflexive Pronouns after Prepositions,Reflexive pronouns used after prepositions referring back to subject.,She did it by herself.
Use of Time Clauses with 'When' and 'While',When' introduces short actions; 'while' introduces longer actions.,I was cooking when he called. / She was reading while waiting.
Use of 'In Case' for Precaution,Express precautionary actions taken due to possible future events.,Take an umbrella in case it rains.
Use of 'Apart From' to Add Information,Apart from' adds or excludes information.,"Apart from John, everyone was there."
Use of Future Continuous for Planned Future Actions,Describe actions expected at a specific time in the future.,I will be traveling next week.
Use of Conditional Sentences Type 0,Express general truths or scientific facts using present simple in both clauses.,"If you heat ice, it melts."
Use of Conditional Sentences Type 1,Express possible future conditions and their likely results using present simple and 'will'.,"If it rains, we will cancel the picnic."
Use of Conditional Sentences Type 2,Express hypothetical or unlikely present or future situations using past simple and 'would'.,"If I won the lottery, I would travel the world."
Use of Conditional Sentences Type 3,Express past hypotheticals and their possible different outcomes using past perfect and 'would have'.,"If she had studied, she would have passed the exam."
Use of Mixed Conditionals,Combine different conditional forms to express complex time relationships.,"If I had studied, I would be successful now."
Use of 'So' + Adjective/Adverb + 'That',Show cause and result with emphasis on a quality or degree.,The movie was so interesting that I watched it twice.
Use of 'Such' + Noun + 'That',Emphasize the quality of a noun causing a result.,It was such a hot day that we stayed indoors.
Use of Defining Relative Clauses,Essential clauses without commas that specify the noun they modify.,The man who called yesterday is my uncle.
Use of Non-defining Relative Clauses,Added information in commas that don’t limit the noun’s meaning.,"My brother, who lives in London, is visiting."
Use of Indirect Questions,Polite or formal questions embedded in statements or other questions.,Could you tell me where the station is?
Use of Reported Speech with Commands and Requests,Report commands by using infinitives following verbs like 'tell' or 'ask'.,He told me to wait outside.
Use of Modal Perfect for Past Deduction,Used to express logical conclusions about past uncertain events.,She must have left early.
Use of Modal Perfect for Regret,"Use 'should have', 'could have', or 'would have' to express past regrets or criticism.",You should have told me the truth.
Use of Emphatic Structures with 'Do',Add 'do' or 'did' for emphasis in affirmative sentences.,I do appreciate your help.
Use of Inversion for Emphasis,"Invert subject and auxiliary verb for emphasis, especially after negative adverbs.",Never have I seen such a beautiful sight.
Use of Causative 'Have' and 'Get',"Express causing someone else to do something, using 'have' or 'get' + object + past participle.",I had my hair cut yesterday.
Use of Passive Voice in Various Tenses,Form the passive voice by combining 'to be' and past participle in different tenses.,The letter was written last week.
Use of Gerunds as Subjects and Objects,"Verb + -ing acting as a noun, either as subject or object.",Swimming is good exercise. / I enjoy swimming.
Use of Infinitives as Subjects and Objects,To' + verb acting as a noun.,To win is important. / I want to win.
Use of Participle Clauses,Use present or past participles to shorten relative or adverbial clauses.,"Singing loudly, she walked down the street."
Use of Phrasal Verbs in Sentences,Combine verbs with particles to create idiomatic meanings.,I looked up the word in the dictionary.
Use of Question Tags for Different Subjects,The tag must agree with the subject in number and person.,"They are coming, aren’t they?"
Use of Subject-Verb Agreement with Collective Nouns,Collective nouns can take singular or plural verbs depending on meaning.,The team is winning. / The team are arguing among themselves.
Use of Agreement with Indefinite Pronouns,Treat indefinite pronouns as singular or plural depending on meaning.,Everyone is here. / Few were invited.
Use of Expression of Quantity with 'Enough',Enough' follows adjectives or precedes nouns to express sufficiency.,She is tall enough. / There is enough food.
Use of Adjective Order Before Nouns,"Adjectives are ordered by quantity, opinion, size, age, shape, color, origin, material, purpose.",She has a lovely small old round wooden table.
Use of Comparative and Superlative Forms,Use '-er' and '-est' or 'more' and 'most' depending on adjective length.,He is taller than me. She is the most intelligent student.
Use of Adverbs of Frequency,Place frequency adverbs before the main verb except 'be'.,He often visits. / She is always happy.
Use of Direct and Indirect Objects in Sentences,Identify direct (receives action) and indirect (receives benefit) objects.,She gave her friend a gift.
Use of Negative Adverbs with Double Negatives,Avoid double negatives as they create a positive meaning.,I don’t want anything. (not: don’t want nothing)
Use of Clauses of Reason with 'Because' and 'Since',Express cause or reason with 'because' (specific) or 'since' (general).,"I left because I was tired. Since it was late, we stopped."
Use of Conjunctions to Join Clauses,Use coordinating and subordinating conjunctions to join clauses and sentences.,"I like tea and coffee. Although he is tired, he works."
Use of Future Continuous to Describe Ongoing Future Actions,Express actions that will be in progress at a specific time in the future.,She will be studying at 8 PM.
Use of Simple Future for Spontaneous Decisions,Use 'will' for decisions made at the moment of speaking.,I'll answer the phone.
Use of Present Continuous for Plans and Arrangements,"Use present continuous for personal, planned future events.",I am meeting him tomorrow.
Use of Possessive Pronouns and Adjectives,Differentiation between possessive pronouns (stand alone) and adjectives (modify nouns).,This book is mine. / This is my book.
Use of Adjectives with '-ed' and '-ing' Forms,-ed' adjectives describe feelings; '-ing' adjectives describe causes.,I am interested. / The book is interesting.
Use of 'Either...Or' for Alternatives,Use to present two alternative elements.,You can either stay or leave.
Use of Imperatives with Negative Commands,Form negative commands with 'don't'.,Don’t touch that!
Use of Clauses of Contrast with 'Although' and 'Though',Show contrast between two clauses.,"Although he tried, he failed."
Use of Question Formation with Auxiliary Verbs,Form questions by inverting subject and auxiliary verb.,Are you ready?
Use of Past Perfect for Sequence of Events,Indicates one past action occurred before another past action.,She had left before he arrived.
Use of 'Though' at the End of Sentences,Though' can be used informally at sentence end to indicate contrast.,"I enjoyed the movie, though."
Use of Articles with Professions,"Generally, use 'a' before professions unless plural or specified.",She is a doctor.
Use of 'So That' to Express Purpose,Introduce purpose clauses with 'so that' followed by modal verbs.,Speak loudly so that everyone can hear.
Use of Mid-Sentence Adjective Position for Emphasis,Place adjectives mid-sentence after 'is' for emphasis.,The problem is difficult.
Use of 'Though' and 'Although' in Subordinate Clauses,Both introduce contrastive subordinate clauses; 'although' is more formal.,"Although it rained, we went outside."
Use of Future Perfect for Actions Before a Specific Time,Describe actions that will be completed before a future moment.,"By 5 PM, I will have finished work."
Use of Relative Pronouns with Prepositions,"In formal English, prepositions often precede relative pronouns.",The person to whom I spoke was kind.
Use of Conditional Form with Inversion,Omit 'if' and invert subject and auxiliary verb for conditionals.,"Were I you, I would apologize."
Use of Causative 'Have' in Passive Form,Use passive causative to indicate services done for someone.,I had my car cleaned yesterday.
Use of 'Used to' Expression in Questions,Form questions about past habits using 'did' + 'use to'.,Did you use to play soccer?
Use of 'So...That' for Results with Adverbs,So' can modify adverbs followed by 'that' to show result.,He runs so quickly that no one can catch him.
Use of Modal Verbs for Polite Requests,"Use 'could', 'would', and 'may' for polite requests.","Could you help me, please?"
Use of Passive Voice for Instructions,Use passive voice to focus on actions in formal instructions.,The application must be submitted by the deadline.
Use of Present Perfect Continuous for Recent Past Actions,Express actions that started recently and may still be continuing.,She has been studying for two hours.
Use of 'As If' and 'As Though' with Past Tense,Describe unreal past situations using past perfect after 'as if/though'.,He acted as if he had known everything.
Use of Prepositions in Fixed Phrases,Some expressions require specific prepositions.,"Interested in art, good at math."
Use of Article Omission with Plural and Uncountable Nouns,"Generally, no articles used when speaking in general.",Dogs are loyal. / Water is essential.
Use of 'Neither...Nor' with Singular and Plural Subjects,Agreement depends on the nearest subject.,Neither the manager nor the employees are here.
Use of 'Either...Or' for Choices,Present alternatives or choices in statements.,You can either call me or email me.
Use of Adjectival Phrases with '-ed' and '-ing',-ed' adjectives describe feelings; '-ing' describe characteristics.,I am bored. / The movie is boring.
Use of Explicit and Implicit Subjects,Sometimes subjects are implied in informal speech.,(You) Sit down.
Use of 'If Only' for Wishes and Regrets,Express strong wishes or regrets about present or past.,If only I had gone to the party.
Use of 'Almost' with Verbs and Adjectives,Almost' indicates something nearly happens or is true.,He almost missed the train.
Use of Compound Subjects with 'And',Join two subjects with 'and' to form plural subject.,Tom and Jerry are friends.
Use of 'Both...And' to Emphasize Two Elements,Emphasize two inclusive items or features.,She is both smart and funny.
